AGENCY,DESCRIPTION,UPLOADED ON,LINK,VALUE
DEPARTMENT OF EDUCATION,Support for Education Department central automated processing system (EDCAPS) technical program management services.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0024&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,498,436 "
DEPARTMENT OF EDUCATION,The purpose of this task order (TO) is to support the collection of descriptive data on the context of elementary and secondary education in the United States through the NTPS Survey Program.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0328&modNumber=P00006&idvAgencyID=&idvPIID=91990020A0014&contractType=AWARD,"$3,039,504 "
DEPARTMENT OF EDUCATION,This task order supports the National Household Education Surveys (NHES) and the National Training and Education Workforce Surveys (NTEWS) conducted by the Cross-Sectional Surveys Branch (CSB) within the Sample Surveys Division of the (NCES).,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0343&modNumber=P00005&idvAgencyID=&idvPIID=EDIES12D0002&contractType=AWARD,"$6,057,648 "
DEPARTMENT OF EDUCATION,What Works Clearinghouse Preschool-to-Postsecondary Evidence Synthesis Task Orders (WWC-PESTO) Task Order 06: Promoting Student Attendance in Kindergarten through Grade 12,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0342&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0005&contractType=AWARD,"$2,599,392 "
DEPARTMENT OF EDUCATION,"THE PURPOSE OF THIS REQUIREMENT IS TO SUPPORT THE NEWLY ESTABLISHED IES COMMUNICATIONS MANAGEMENT OFFICE IN COMMUNICATIONS PLANNING, STRATEGY, MANAGEMENT AND IMPLEMENTATION.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0376&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0003&contractType=AWARD,"$2,758,849 "
DEPARTMENT OF EDUCATION,"What Works Clearinghouse Tool, Online Assistance, Standards, and Training (WWC-TOAST) Task Order 3",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0316&modNumber=P00001&idvAgencyID=&idvPIID=91990023A0001&contractType=AWARD,"$4,974,945 "
DEPARTMENT OF EDUCATION,The purpose of this Task Order is to conduct systematic reviews of evidence and meetings of a panel of researchers and practitioners to produce a practice guide. WWC PESTO TO4 - English Language and Literacy Interventions in Kindergarten to Grade 3,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0336&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0003&contractType=AWARD,"$3,742,166 "
DEPARTMENT OF EDUCATION,"The purpose of this task order is to prepare publications that are informed by a systematic review of evidence on the impacts of instructional practices and routines that promote student learning and engagement in Science, Technology, Engineering, and Mathematics (STEM) in grades K-8th.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0325&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0004&contractType=AWARD,"$3,778,833 "
DEPARTMENT OF EDUCATION,What Works ClearinghouseTM Preschool-to-Postsecondary Evidence Synthesis Task Orders: Task Order 05: Supporting Student Success in High School Classrooms,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0072&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0004&contractType=AWARD,"$3,711,302 "
DEPARTMENT OF EDUCATION,"Logistical Support services contract for the Principal Investigator meeting, for the National Center for Education Research, within the Institute of Education Sciences.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024C0015&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$2,860,555 "
DEPARTMENT OF EDUCATION,Evaluation of Grant Programs to Increase School Based Mental Health Services: Phase II Activities,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990025F0012&modNumber=P00001&idvAgencyID=&idvPIID=91990024D0007&contractType=AWARD,"$2,899,258 "
DEPARTMENT OF EDUCATION,"The purpose of this requirement is to provide support to the Administrative Data Division (ADD/El-Sec) staff to ensure data quality, improve statistical methodology, and increase production efficiency of data files and reports.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0350&modNumber=P00005&idvAgencyID=&idvPIID=91990020A0014&contractType=AWARD,"$5,842,394 "
DEPARTMENT OF EDUCATION,Continuation of Program Management Services for the Next Generation Full Life Cycle Grants Management and Payment System,2/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024C0038&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,461,321 "
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS REQUIREMENT IS TO SUPPORT THE NEWLY ESTABLISHED IES COMMUNICATIONS MANAGEMENT OFFICE BY PROVIDING CONTENT DEVELOPMENT AND DEPLOYMENT SUPPORT.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0389&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0049&contractType=AWARD,"$3,836,117 "
DEPARTMENT OF EDUCATION,"INTERNATIONAL ACTIVITIES RESEARCH, EVALUATION, AND QUALITY CONTROL SUPPORT CONTRACT",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0348&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0005&contractType=AWARD,"$4,185,611 "
DEPARTMENT OF EDUCATION,"This task order will support refinement of the study reporting plan, institutional review board efforts, random assignment, implementation support and monitoring, data collection activities, as well as optionally a data analysis plan and interim snapshot, building off of work performed under Task Order 0001 (Contract # 91990021D0001/91990021F0357) and Task Order 0005 (Contract # 91990021D0001/91990024F0308) to carry out an impact evaluation of education products that provide supplemental instruction in math in low-performing schools.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0362&modNumber=P00003&idvAgencyID=&idvPIID=91990021D0001&contractType=AWARD,"$3,388,046 "
DEPARTMENT OF EDUCATION,Impact Study of Strategies to Accelerate Math Learning: Phase IV Activities,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990025F0023&modNumber=P00001&idvAgencyID=&idvPIID=91990021D0001&contractType=AWARD,"$3,999,344 "
DEPARTMENT OF EDUCATION,"Evaluation of Title I Pilots That Provide Flexibility Under the Every Student Succeeds Act - Contract to conduct an evaluation of up to two pilot programs authorized by the Every Student Succeeds Act: (1) Innovative Assessment and Accountability Demonstration Authority; (2) Flexibility for Equitable Per-Pupil Funding. The evaluation will focus on describing implementation in initial pilot sites, challenges faced, and approaches to mitigating challenges.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019C0059&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,"$7,259,101 "
DEPARTMENT OF EDUCATION,"First International Studies Consolidated National Contract (Program for International Student Assessment (PISA), Progress in International Reading Study (PIRLS), and Program for the International Assessment of Adult Competencies (PIAAC)). PIRLS is an international assessment that focuses on the reading knowledge and skills of fourth-graders. PISA is an international assessment of 15-year-old studentsÃ¢â¿¬â¿¢ reading, mathematics, and science literacy, as well as, occasionally, other subjects (e.g., financial literacy; collaborative problem solving). PIAAC is an international household study, which in cycle 1 (2011-2017) measured adultsÃ¢â¿¬â¿¢ basic skills in literacy, numeracy, literacy components, and problem-solving in technology-rich environments. This National Center for Education Statistics (NCES) within the Institute of Education Sciences (IES) of the U.S. Department of Education (ED) contract provides services that will be part of the larger international program that NCES has participated in through collaboration with a variety of international organizations and partners, such as but not limited to the Organization for Economic Cooperation and Development (OECD), the International Association for the Evaluation of Educational Achievement (IEA), ministries of education and other government agencies, and non-governmental organizations, as well as statistical and research institutes throughout the world.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019F0025&modNumber=P00028&idvAgencyID=&idvPIID=GS00Q14OADU223&contractType=AWARD,"$42,575,147 "
DEPARTMENT OF EDUCATION,ENGLISH LEARNER,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0057&modNumber=P00005&idvAgencyID=&idvPIID=91990021D0004&contractType=AWARD,"$6,791,206 "
DEPARTMENT OF EDUCATION,"2019-20 National Postsecondary Student Aid Study (NPSAS 2020). The NPSAS 2020 contract is designed to fulfill a requirement to conduct a series of studies, based largely on administrative data collections and some student interviews, to comply with the Higher Education Opportunity Act of 2008. These studies are designed to describe (1) how students and their families finance postsecondary education and (2) students' persistence, attainment, and workforce outcomes.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990018C0039&modNumber=P00020&idvAgencyID=&idvPIID=&contractType=AWARD,"$48,496,941 "
DEPARTMENT OF EDUCATION,"The Design and Conduct of the Early Childhood Longitudinal Study, Kindergarten Class of 2022-23 provides important information on children¿s early learning and development, preschool/early care and education experiences, transition into kindergarten, and progress through the elementary grades, building upon knowledge acquired from the previous Early Childhood Longitudinal Studies.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019C0002&modNumber=P00017&idvAgencyID=&idvPIID=&contractType=AWARD,"$57,549,829 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education intends to award nine contracts to qualified entities to serve as the Regional Educational Laboratory (REL) for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0010&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$28,390,233 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0009&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$28,655,439 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0015&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$29,008,339 "
DEPARTMENT OF EDUCATION,This contract is for An Impact Evaluation of Training in Multi-Tiered Systems of Support for Reading in Early Elementary School (MTSS-R),2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990018C0046&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=AWARD,"$54,525,960 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices.",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023C0003&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$28,312,000 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0011&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$35,806,772 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices Contracting Officer: Joseph Gibbs, 202-245-6016, joseph.gibbs@ed.gov",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0008&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,"$33,288,893 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0012&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=AWARD,"$34,932,046 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0013&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$36,754,677 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0014&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$40,228,934 "
DEPARTMENT OF EDUCATION,International Activities Core Support - Base plus four option years.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0301&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0006&contractType=AWARD,"$27,654,306 "
DEPARTMENT OF EDUCATION,Assistance with review of grant applications.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0066&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,"$29,440,812 "
DEPARTMENT OF EDUCATION,"The U.S. Department of Education Regional Educational Laboratory (REL) is awarding for nine of the 10 REL regions. The purpose of each REL is to assist practitioners and policymakers in their work to improve outcomes for learners in its region from early childhood to adulthood by supporting stakeholders in the generation and use of research, evidence, and evidence-based practices",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0003&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,"$40,885,394 "
DEPARTMENT OF EDUCATION,This contract is to design and evaluate the effectiveness of transition supports for youth with disabilities served under the Individuals with Disabilities Education Act (IDEA).,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019C0078&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$43,357,637 "
DEPARTMENT OF EDUCATION,IT INVESTMENT MANAGEMENT SUPPORT,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0330&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0046&contractType=AWARD,"$619,179 "
DEPARTMENT OF EDUCATION,LOGISTICS AND EVEN PLANNING SUPPORT,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0310&modNumber=P00008&idvAgencyID=&idvPIID=91990020A0031&contractType=AWARD,"$2,897,206 "
DEPARTMENT OF EDUCATION,"THE TEACHING AND LEARNING INTERNATIONAL SURVEY (TALIS) IS A SURVEY ABOUT TEACHERS, TEACHING, AND LEARNING ENVIRONMENTS AND IS SPONSORED BY THE ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT (OECD).",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021C0052&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$6,747,689 "
DEPARTMENT OF EDUCATION,Diversity Change Agent Program (DCAP)/DEIA Training,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0071&modNumber=P00002&idvAgencyID=&idvPIID=GS02F0095T&contractType=AWARD,"$4,170,794 "
DEPARTMENT OF EDUCATION,This contract supports the National Center for Education Research (NCER) and the National Center for Special Education Research Technical Working Group (TWG) Meetings.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024C0044&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,606,863 "
DEPARTMENT OF EDUCATION,"The High School and Beyond Longitudinal Study of 2020 (HS&B:20) is a large, complex data collection used to follow and study high school students throughout their high school careers.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990018F0018&modNumber=P00022&idvAgencyID=&idvPIID=GS00Q14OADU217&contractType=AWARD,"$44,251,035 "
DEPARTMENT OF EDUCATION,"THE PRIMARY PURPOSE OF THIS CONTRACT IS TO SERVE IN A TECHNICAL ADVISORY CAPACITY, DEVELOPING PROCEDURES AND PROTOCOLS FOR REPORT AND TABLE PRODUCTION THAT CAN BE EASILY FOLLOWED AND EXECUTED AT SCALE BY A THIRD PARTY UNDER A SEPARATE CONTRACT.",2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0344&modNumber=P00004&idvAgencyID=&idvPIID=91990023D0039&contractType=AWARD,"$5,562,729 "
DEPARTMENT OF EDUCATION,2023-24 National Postsecondary Student Aid Study (NPSAS:24) & Postsecondary Longitudinal Studies,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0017&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,"$26,921,413 "
DEPARTMENT OF EDUCATION,ED FACTS DATA AND DISSEMINATION SUPPORT SERVICES,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0331&modNumber=P00002&idvAgencyID=&idvPIID=91990023D0008&contractType=AWARD,"$39,369,399 "
DEPARTMENT OF ENERGY,THE PURPOSE OF THIS SOLICITATION IS TO PROVIDE INCLUSION AND DIVERSITY CONSULTING SERVICES IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK.,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503019PWA000196&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,330 "
DEPARTMENT OF ENERGY,THIS IS A TERMINATION FOR THE CONVENIENCE OF THE GOVERNMENT FOR THE 12-MONTH ENERGYWIRE E&E SUBSCRIPTION FOR 100+ WAPA USERS. WAPA NO LONGER REQUIRES THIS SUBSCRIPTION. THE TOTAL AMOUNT OF THE PURCHASE ORDER HAS BEEN PAID IN FULL.,2/10/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503024PWA000458&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$40,000 "
DEPARTMENT OF ENERGY,HQ PROCUREMENT CONTRACT SPECIALIST SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503022CWA000021&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$39,997 "
DEPARTMENT OF ENERGY,OCE GRAPHICS OPERATIONAL&ADMINISTRATIVE,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303918FEM000049&modNumber=P00017&idvAgencyID=&idvPIID=89303918AEM000006&contractType=AWARD,"$501,550 "
DEPARTMENT OF ENERGY,BULK COACHING SERVICES,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503023FWA000100&modNumber=P00002&idvAgencyID=&idvPIID=89503418AWA000001&contractType=AWARD,"$46,800 "
DEPARTMENT OF ENERGY,NEW PRE-PLANNING TASK ORDER FOR THE 2024 BETO PEER REVIEW CONVERSION PROGRAM STRATEGY MEETING.,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89243424FEE400357&modNumber=P00002&idvAgencyID=&idvPIID=89243423DEE000007&contractType=AWARD,"$68,263 "
DEPARTMENT OF ENERGY,DEIA Training,1/21/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89243423FEE000303&modNumber=P00002&idvAgencyID=&idvPIID=89243423AEE000005&contractType=AWARD,"$304,243 "
DEPARTMENT OF ENERGY,"THIS BPA CALL WILL BE PLACED AGAINST BPA 89303918AEM000009 WITH STREET LEGAL INDUSTRIES, INC. TO PROVIDE HANFORD OVERSIGHT SUPPORT SERVICES IN ACCORDANCE WITH THE STATEMENT OF WORK.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303922FEM000189&modNumber=P00001&idvAgencyID=&idvPIID=89303918AEM000009&contractType=AWARD,"$314,333 "
DEPARTMENT OF ENERGY,NEW CONFERENCE LOGISTICS TASK ORDER FOR IEDO WORKSHOPS.,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89243423FEE400332&modNumber=P00002&idvAgencyID=&idvPIID=89243423DEE000007&contractType=AWARD,"$694,020 "
DEPARTMENT OF ENERGY,Federal Human Capital Collaborative Membership Renewal,2/28/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303023PHC000009&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$33,000 "
DEPARTMENT OF ENERGY,Legal Research,2/19/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8960&PIID=89603021F0086&modNumber=P00007&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$41,153 "
DEPARTMENT OF ENERGY,LINKEDIN RECRUITER SERVICES,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8960&PIID=89603021F0081&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SC27B&contractType=AWARD,"$59,440 "
DEPARTMENT OF ENERGY,IHS GLOBAL INC. ORDER FOR MODELING AND DATA ANALYSIS SUPPORT (CONSULTING SERVICES) THROUGH GSA MAS SCHEDULE.,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303024FEI400151&modNumber=0&idvAgencyID=&idvPIID=47QRAA19D001X&contractType=AWARD,"$298,086 "
DEPARTMENT OF ENERGY,TASK ORDER FOR CRAFT LEADERSHIP DEVELOPMENT PROGRAM (CLDP) FACILITATOR SERVICES,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503324FWA400155&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D001U&contractType=AWARD,"$79,596 "
DEPARTMENT OF ENERGY,"THE PURPOSE OF THIS PURCHASE ORDER IS FOR SUBSCRIPTION TO IPD LATIN AMERICA, LLC. THE SCOPE OF THIS EFFORT WILL REQUIRE THE CONTRACTOR, IPD, TO PROVIDE ESD WITH TWO CORE, SPECIALIZED PUBLICATION PRODUCT SUITES, WHICH ARE DEVOTED TO REPORTING ON ENERG",2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303023PET000027&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$453,713 "
DEPARTMENT OF ENERGY,JOURNAL SUBSCRIPTION RENEWAL,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89243124PSC000280&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$382,424 "
DEPARTMENT OF ENERGY,AIR QUALITY CONSULTING SUPPORT SERVICES.,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89503320PWA000096&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$287,000 "
DEPARTMENT OF ENERGY,Environmental Justice and Equity Support Services Health Impact Review Report,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8960&PIID=89603023F0084&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA20D0044&contractType=AWARD,"$443,851 "
DEPARTMENT OF ENERGY,"FIRM-FIXED-PRICE (FFP) ORDER TO FESHARAKI ASSOCIATES CONSULTING AND TECHNICAL SERVICES (FACTS) FOR DATA SUBSCRIPTIONS WITH A ONE-YEAR BASE PERIOD (ESTIMATED TO BE FROM SEPTEMBER 24, 2023 TO SEPTEMBER 23, 2024), AND FOUR (4) ONE-YEAR OPTIONS. PERIOD",2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303023PEI000101&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$815,804 "
DEPARTMENT OF ENERGY,"OBTAIN PROGRAMMATIC SUPPORT SERVICES AND TRAINING COURSE DEVELOPMENT ON NEW CALL CONSISTING OF ONE 12-MONTH BASE AND ONE 12-MONTH OPTION PERIOD. REQ 24MA000046 $59,0008.50 POP: 11/21/2023 TO 11/20/2025",2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303024FMA000517&modNumber=P00004&idvAgencyID=&idvPIID=89303021AMA000022&contractType=AWARD,"$507,568 "
DEPARTMENT OF ENERGY,"THE CONTRACTOR SHALL PROVIDE PROFESSIONAL SERVICES IN ALL AREAS OF HUMAN CAPITAL MANAGEMENT TO SUPPORT DOE-WIDE EXECUTIVE CORE QUALIFICATIONS, SPECIAL HR PROJECTS, TRAINING, FOCUS GROUPS, AND OTHER EXECUTIVE SUPPORT.",2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89303023CHC000018&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,265,626 "
DEPARTMENT OF ENERGY,POLITICO PRO SUBSCRIPTION,2/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8960&PIID=89603020P0023&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$530,682 "
DEPARTMENT OF ENERGY,"THE NNSA, OFFICE OF LEARNING AND CAREER MANAGEMENT IS SEEKING SUPPORT TO PROVIDE ORGANIZATIONAL DEVELOPMENT TO INCLUDE ORGANIZATIONAL DEVELOPMENT CONSULTING, LEADERSHIP AND TEAM DEVELOPMENT, STRATEGIC PLANNING AND TO ASSIST IN ASSESSING ORGANIZATIONA",2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8900&PIID=89233124FNA000165&modNumber=0&idvAgencyID=&idvPIID=89303021AMA000022&contractType=AWARD,"$975,591 "
